date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
12/13/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2540.3,-1104.26,2540.3,2377.913043,-24243.97418,-20102.62979,-18193.6277,4141.344394,124240.3318,1909.002087,57270.06261,-101612,-101612,-95116.52174,0,6495.478261,0.109261033,0,0,1689,2540.3,623.4,606.1,1322.7,4773.71,0.954501043,1,0
3/10/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2656,0,2656,2340,-21002.4084,-21424.9428,-19148.32002,-422.5344,-12676.032,2276.622778,68298.68333,-106240,-106240,-93600,0,12640,0.156312713,0,-276.12,1840,2656,992,166,1782,0,1.000251389,1,1
5/11/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2303.59,-843.6,2252.3,2333.313043,-25686.00115,-23028.34621,-21119.34412,2657.654936,79729.64808,1909.002087,57270.06261,-92143.6,-90092,-93332.52174,2051.6,-3240.521739,0.078151906,0,0,1109,2252.3,1826.6,1216.7,1290.4,3360.13,0.954501043,1,1
1/11/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3416.8,-1739.88,2677.7,2327.813043,-32525.67347,-25337.59474,-23428.59265,7188.07873,215642.3619,1909.002087,57270.06261,-136672,-107108,-93112.52174,29564,13995.47826,0.132187917,0,0,1304.8,2677.7,2454.6,713.3,1582.3,9429.54,0.954501043,1,1
1/16/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2324.66,-1108.33,2051.4,2316.1,-24789.97976,-20485.4093,-18576.40721,4304.570456,129137.1137,1909.002087,57270.06261,-92986.4,-82056,-92644,10930.4,-10588,0.053305825,0,0,1816.1,2051.4,936.8,480.1,1372.7,5145.39,0.954501043,1,0
5/8/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2132.506,-1473.88,2120,2289.996,-23785.89879,-17438.90178,-15458.05052,6346.99701,190409.9103,1980.85126,59425.53781,-85300.24,-84800,-91599.84,500.24,-6799.84,0.072513289,0,-101.39883,1340,1789.996,327.997,133.997,1443.997,8156.32,0.939726215,0,1
10/19/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2911.43,-1970.73,2023.9,2267.1,-22927.12622,-14017.74592,-12211.08767,8909.380301,267281.409,1806.658248,54199.74743,-116457.2,-80956,-90684,35501.2,-9728,0.047045874,24.318,-195,1871,2023.9,52.1,0,1402.4,12370.96,0.805829124,0,1
7/13/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2623.471,-1127.03,1764.001,2264.001,-20426.01557,-16961.75088,-15052.74879,3464.264689,103927.9407,1909.002087,57270.06261,-104938.84,-70560.04,-90560.04,34378.8,-20000,0.018569213,0,0,486,1764.001,1041.995,1041.995,1166,4973.19,0.954501043,1,1
2/23/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2258,0,2258,2258,-14153.3728,-14837.5414,-12962.30007,-684.1686,-20525.058,1875.241334,56257.24003,-90320,-90320,-90320,0,0,0.085886241,225.12,-146.64,1194,1648,22,0,1432,0,0.864300667,0,1
11/12/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,1992.63,-1739.96,1746.9,2246.9,-22221.00902,-13807.27673,-11771.518,8413.73229,252411.9687,2035.758729,61072.76187,-79705.2,-69876,-89876,9829.2,-20000,0.031276776,0,-159.822,1746.9,1626.1,200.4,0,1203.3,11009.57,0.937968364,0,1
8/15/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3242.97,-1888.16,2170.7,2246.3,-33080.72432,-24055.85375,-22146.85166,9024.87057,270746.1171,1909.002087,57270.06261,-129718.8,-86828,-89852,42890.8,-3024,0.078864005,0,0,1695.1,1797.4,1626.7,623.5,1626.8,11406.2,0.954501043,1,0
9/14/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2180.29,-863.82,1962.9,2235.11172,-18666.28497,-15155.41755,-13353.71811,3510.867422,105326.0227,1801.699437,54050.9831,-87211.6,-78516,-89404.46881,8695.6,-10888.46881,0.042459957,142.422,0,301.6,1962.9,1027.1,1027.1,806.8,4721.74,0.900849718,0,1
5/16/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2326.88,-995.81,2237.3,2234.1,-26139.31056,-22209.10102,-20300.09893,3930.20954,117906.2862,1909.002087,57270.06261,-93075.2,-89492,-89364,3583.2,128,0.08911764,0,0,1663.3,2225,872.7,872.7,1484,4463.65,0.954501043,1,0
11/11/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2678.78,-1635.55,2675,2215.7,-24915.30452,-18189.81939,-15862.87627,6725.48513,201764.5539,2326.943117,69808.2935,-107151.2,-107000,-88628,151.2,18372,0.176649065,22.638,-343.239,1199.9,2675,723.9,0,1372.9,9144.2,0.991852058,1,1
5/9/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2193.981,-1400.17,1696,2196,-22054.26273,-16527.60007,-14618.59798,5526.662654,165799.8796,1909.002087,57270.06261,-87759.24,-67840,-87840,19919.24,-20000,0.018569213,0,0,1696,1431.996,1110.003,467.996,1134,7468.44,0.954501043,1,0
2/24/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,1852,0,1852,2186,-17398.7296,-17398.7296,-15578.0944,0,0,1820.635198,54619.05595,-74080,-74080,-87440,0,-13360,0.035291567,0,0,1708,1634,1294,60,1442,0,0.910317599,0,1
