,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
58,2020-09-28,False,True,0.41,340,500,125,2cd,1,398.1076923,-0.0,398.1076923,523.1076923,-3009.3375625863746,-3009.3375625863746,-2533.3622515610105,0.0,0.0,475.97531102536414,14279.259330760924,-15924.307692,-15924.307692,-20924.307692000002,0.0,-5000.000000000002,0.0643915354889828,0.0,-0.0,147.8153846,383.6142857,216.12307689999997,216.12307689999997,55.66153846,0.0,0.9519506220507282,1
59,2020-09-29,False,True,0.41,340,500,125,2cd,1,372.6153846,-0.0,372.6153846,418.0769231,-2686.342144245636,-2686.342144245636,-2261.8728158315457,0.0,0.0,424.46932841409034,12734.07985242271,-14904.615384,-14904.615384,-16723.076924,0.0,-1818.4615400000002,0.09054826387124448,0.0,-0.0,126.7692308,293.0769231,268.58461539999996,178.26923080000003,47.33846154,0.0,0.8489386568281807,1
60,2020-09-30,False,True,0.41,340,500,125,2cd,1,316.05,-0.0,316.05,407.3384615,-2077.983758580025,-2077.983758580025,-1817.0629401860297,0.0,0.0,260.92081839399543,7827.624551819863,-12642.0,-12642.0,-16293.53846,0.0,-3651.5384599999998,-0.034987484585911055,0.0,-0.0,136.4538462,282.3384615,222.69230770000001,157.88571430000002,5.5,0.0,0.5218416367879909,1
61,2020-10-01,False,True,0.41,340,500,125,2cd,1,32.62307692,-0.0,32.62307692,153.8,-211.32385596311417,-211.32385596311417,-278.49031718986805,0.0,0.0,-67.16646122675388,-2014.9938368026164,-1304.9230768000002,-1304.9230768000002,-6152.0,0.0,-4847.0769232,,0.0,-0.0,30.73846154,32.62307692,5.215384615,5.215384615,5.1,0.0,-0.13433292245350775,0
62,2020-10-02,False,True,0.41,340,500,125,2cd,1,28.98461538,-0.0,28.98461538,153.38461538,-192.29106090219366,-192.29106090219366,-266.5252464942157,0.0,0.0,-74.23418559202204,-2227.0255677606615,-1159.3846152,-1159.3846152,-6135.384615200001,0.0,-4976.0,,0.0,-0.0,28.8,28.26923077,4.315384615,4.315384615,4.6,0.0,-0.1484683711840441,0
63,2020-10-03,False,True,0.41,340,500,125,2cd,1,30.23076923,-0.0,30.23076923,155.23076923,-193.140983064897,-193.140983064897,-265.10936241656316,0.0,0.0,-71.96837935166616,-2159.051380549985,-1209.2307692,-1209.2307692,-6209.2307691999995,0.0,-5000.0,,0.0,-0.0,30.23076923,28.76923077,4.015384615,4.015384615,5.1,0.0,-0.1439367587033323,0
64,2020-10-04,False,True,0.41,340,500,125,2cd,1,28.89230769,-0.0,28.89230769,153.48571429,-190.27387488540492,-190.27387488540492,-262.7308611404112,0.0,0.0,-72.45698625500629,-2173.7095876501885,-1155.6923076,-1155.6923076,-6139.4285716,0.0,-4983.736264,,0.0,-0.0,28.48571429,28.89230769,4.5,4.5,4.346153846,0.0,-0.14491397251001256,0
65,2020-10-05,False,True,0.41,340,500,125,2cd,1,28.7,-0.0,28.7,152.8,-185.42721977785965,-185.42721977785965,-258.2395455578445,0.0,0.0,-72.81232577998486,-2184.369773399546,-1148.0,-1148.0,-6112.0,0.0,-4964.0,,0.0,-0.0,27.97692308,28.7,4.530769231,4.530769231,4.8,0.0,-0.14562465155996973,0
66,2020-10-06,False,True,0.41,340,500,125,2cd,1,84.13846154,-0.0,84.13846154,152.10769231,-388.76623995094843,-388.76623995094843,-312.7897862282786,0.0,0.0,75.97645372266982,2279.2936116800947,-3365.5384615999997,-3365.5384615999997,-6084.3076924,0.0,-2718.7692308,,0.0,-0.0,27.6,26.26153846,3.992307692,3.992307692,4.923076923,0.0,0.15195290744533962,0
67,2020-10-07,False,True,0.41,340,500,125,2cd,1,255.57692310000002,-0.0,255.57692310000002,380.57692310000004,-1882.6284132459523,-1882.6284132459523,-1529.5712236211868,0.0,0.0,353.05718962476544,10591.715688742963,-10223.076924,-10223.076924,-15223.076924,0.0,-5000.0,-6.506388481630765e-05,0.0,-0.0,115.0076923,255.57692310000002,147.94615380000002,120.6,31.9,0.0,0.7061143792495309,1
