date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,energy_saving_per_kWh,storage_params
3/22/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1172,-2664,806,1006,-9834.1265,-5464.1604,-4512.486645,4369.9661,131098.983,951.6737548,28550.21264,-46880,-32240,-40240,14640,-8000,0.117040654,2466.908874,-193.7629789,35.6877658,800kWh-200kW
4/6/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1982,-2300,1172,1026,-14098.2394,-7416.1606,-6260.34701,6682.0788,200462.364,1155.81359,34674.40769,-79280,-46880,-41040,32400,5840,0.282401753,1472.293933,-290.6438142,43.34300961,800kWh-200kW
4/7/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1753,-2763,1552,1752,-19039.1088,-8566.8236,-8003.015836,10472.2852,314168.556,563.8077638,16914.23291,-70120,-62080,-70080,8040,-8000,-0.00050359,1791.803388,-9.689258784,21.14279114,800kWh-200kW
4/8/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1342,-2683,1230,1430,-14913.468,-6497.8822,-5954.488436,8415.5858,252467.574,543.3937641,16301.81292,-53680,-49200,-57200,4480,-8000,-0.009119666,3010.798889,-0.00116825,20.37726615,800kWh-200kW
4/9/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1403,-2702,1028,1180,-15992.1592,-7034.0116,-6286.477836,8958.1476,268744.428,747.5337637,22426.01291,-56120,-41120,-47200,15000,-6080,0.079272731,2973.243879,-96.88207546,28.03251614,800kWh-200kW
4/10/20,TRUE,TRUE,0.41,340,800,200,2cd,1,2034,-2439,1034,1206,-15447.9707,-7604.2358,-7060.842036,7843.7349,235312.047,543.3937641,16301.81292,-81360,-41360,-48240,40000,-6880,0.006574285,1851.718889,-0.00116825,20.37726615,800kWh-200kW
4/11/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1342,-431,1158,1322,-15785.0602,-14416.5368,-13639.42183,1368.5234,41055.702,777.1149725,23313.44917,-53680,-46320,-52880,7360,-6560,0.082970376,0,0,29.14181147,800kWh-200kW
4/12/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1332,-3030,1332,1332,-13704.3274,-6929.064,-6385.670236,6775.2634,203257.902,543.3937641,16301.81292,-53280,-53280,-53280,0,0,0.080492099,4241.638889,-0.00116825,20.37726615,800kWh-200kW
5/4/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1178,-2545,942,998,-13355.45,-5483.8826,-4940.488836,7871.5674,236147.022,543.3937641,16301.81292,-47120,-37680,-39920,9440,-2240,0.058309513,3123.118889,-0.00116825,20.37726615,800kWh-200kW
5/5/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1517,-356,1284,1440,-15373.0521,-13717.176,-12940.06103,1655.8761,49676.283,777.1149725,23313.44917,-60680,-51360,-57600,9320,-6240,0.086040894,0,0,29.14181147,800kWh-200kW
5/6/20,TRUE,TRUE,0.41,340,800,200,2cd,1,1387,-804,1008,972.8542144,-13917.9348,-10064.8348,-9287.719828,3853.1,115593,777.1149725,23313.44917,-55480,-40320,-38914.16858,15160,1405.831424,0.155186911,0,0,29.14181147,800kWh-200kW
5/7/20,TRUE,TRUE,0.41,340,800,200,2cd,1,2408,-2929,1422,1350,-22149.7157,-9719.7308,-8904.831453,12429.9849,372899.547,814.8993472,24446.98042,-96320,-56880,-54000,39440,2880,0.177192963,1041.193128,-128.8523528,30.55872552,800kWh-200kW
5/8/20,TRUE,TRUE,0.41,340,800,200,2cd,1,2133,-1474,2120,1990,-23784.7091,-17438.9086,-16542.43363,6345.8005,190374.015,896.4749725,26894.24917,-85320,-84800,-79600,520,5200,0.216286752,23.4,-82,33.61781147,800kWh-200kW
